"d","FID","CIID1","CIID2"
2,0.00499999999997271,0.0080000000000382,0.0130000000000109
50,0.0650000000000546,0.0119999999999436,0.0129999999999654
100,0.197000000000026,0.0119999999999436,0.0119999999999891
150,0.492999999999984,0.0140000000000327,0.0190000000000055
200,1.00899999999992,0.0150000000000546,0.0210000000000491
250,1.69700000000012,0.0210000000000491,0.0269999999999527
300,2.57000000000003,0.0190000000000055,0.0249999999999545
350,3.84499999999998,0.025,0.0270000000000436
400,5.41400000000003,0.0269999999999527,0.0309999999999491
450,8.41199999999999,0.0210000000000036,0.03400000000006
500,11.158,0.0270000000000891,0.0539999999999509
550,13.525,0.0379999999999654,0.0390000000000327
600,16.457,0.0419999999999163,0.0380000000001019
650,21.4030000000001,0.0449999999999818,0.0390000000000327
700,27.7370000000001,0.0470000000001164,0.0499999999997272
750,26.429,0.0350000000002183,0.0389999999997599
800,31.7309999999998,0.0399999999998727,0.0530000000000655
850,37.4889999999998,0.0349999999999454,0.0440000000001419
900,43.594,0.0420000000000073,0.0479999999999563
950,53.9900000000002,0.050000000000091,0.0469999999997526
1000,75.761,0.0610000000000582,0.0520000000000437
